#Boxplots d'expressions du gène KRAS en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 2.856, p-value = 0.036
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA3412       NonMut        5.570790
   BA3293       NonMut        6.233941
   BA3177       NonMut        6.566859
   BA3315       NonMut        6.033636
   BA3182       NonMut        6.281400
   BA3260       NonMut        6.776617
   BA3078       NonMut        6.132490
   BA3386       NonMut        6.051521
   BA3445       NonMut        6.311621
   BA3452       NonMut        6.232995
   BA3176       NonMut        5.463373
   BA3258       NonMut        6.063877
   BA3295       NonMut        6.336449
   BA3283       NonMut        6.523246
   BA3275       NonMut        6.354893
   BA3136       NonMut        5.970748
   BA3190       NonMut        6.895821
   BA3234       NonMut        6.165662
   BA3087       NonMut        6.008009
   BA3454       NonMut        6.196064
   BA3302       NonMut        5.267457
   BA3117       NonMut        5.154229
   BA3083       NonMut        6.174704
   BA3266       NonMut        6.344121
   BA3175       NonMut        6.047346
   BA3268       NonMut        5.442103
   BA3229       NonMut        5.960636
   BA3353       NonMut        5.505341
   BA3312       NonMut        5.397803
   BA3119       NonMut        5.236025
   BA3138       NonMut        6.578711
   BA3219       NonMut        6.431936
   BA3388       NonMut        6.371702
   BA3357       NonMut        5.231046
   BA3351       NonMut        6.151875
   BA3208       NonMut        5.984288
   BA3310       NonMut        5.642403
   BA3200       NonMut        5.632437
   BA3325       NonMut        6.410316
   BA3146       NonMut        5.908850
   BA3211       NonMut        5.829718
   BA3237       NonMut        6.372157
   BA3130       NonMut        7.339786
   BA3376       NonMut        5.819597
   BA3137       NonMut        5.920770
   BA3300       NonMut        5.739734
   BA3375       NonMut        6.138090
   BA3249       NonMut        6.345485
   BA3385       NonMut        6.093454
   BA3242       NonMut        5.206865
   BA3446       NonMut        6.276948
   BA3416       NonMut        5.157039
   BA3123       NonMut        6.018251
