#Boxplots d'expressions du gène CEBPA en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 214.268, p-value = 0.00000
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA3202       NonMut        0.005940
   BA3203       NonMut        0.014735
   BA3206       NonMut        0.007846
   BA3207       NonMut        0.014055
   BA3208       NonMut        0.014514
   BA3210       NonMut        0.010129
   BA3211       NonMut        0.015989
   BA3212       NonMut        0.000295
   BA3213       NonMut        0.010356
   BA3214       NonMut        0.006194
   BA3216       NonMut        0.022272
   BA3217       NonMut        0.019528
   BA3219       NonMut        0.013098
   BA3221       NonMut        0.014455
   BA3222       NonMut        0.032141
   BA3225       NonMut        0.018482
   BA3226       NonMut        0.033535
   BA3227       NonMut        0.041291
   BA3228       NonMut        0.010856
   BA3229       NonMut        0.018149
   BA3230       NonMut        0.011790
   BA3232       NonMut        0.022798
   BA3234       NonMut        0.024314
   BA3235       NonMut        0.015859
   BA3237       NonMut        0.011863
   BA3240       NonMut        0.024505
   BA3242       NonMut        0.015095
   BA3243       NonMut        0.021387
   BA3245       NonMut        0.005156
   BA3249       NonMut        0.017076
   BA3250       NonMut        0.012700
   BA3251       NonMut        0.010955
   BA3255       NonMut        0.021639
   BA3258       NonMut        0.019319
   BA3260       NonMut        0.006204
   BA3264       NonMut        0.042628
   BA3266       NonMut        0.022491
   BA3268       NonMut        0.015185
   BA3269       NonMut        0.011923
   BA3270       NonMut        0.021277
   BA3271       NonMut        0.018069
   BA3273       NonMut        0.006701
   BA3275       NonMut        0.019870
   BA3277       NonMut        0.028271
   BA3280       NonMut        0.015774
   BA3283       NonMut        0.011500
   BA3285       NonMut        0.016250
   BA3286       NonMut        0.022114
   BA3289       NonMut        0.009093
   BA3290       NonMut        0.019789
   BA3293       NonMut        0.026141
   BA3295       NonMut        0.010631
   BA3296       NonMut        0.018929
   BA3297       NonMut        0.050777
   BA3299       NonMut        0.012518
   BA3300       NonMut        0.000048
   BA3302       NonMut        0.013209
   BA3305       NonMut        0.031185
   BA3306       NonMut        0.012657
   BA3308       NonMut        0.030669
   BA3310       NonMut        0.016255
   BA3311       NonMut        0.012475
   BA3315       NonMut        0.028411
   BA3317       NonMut        0.033098
   BA3318       NonMut        0.007438
   BA3319       NonMut        0.013361
   BA3322       NonMut        0.004700
   BA3324       NonMut        0.017346
   BA3325       NonMut        0.008088
   BA3326       NonMut        0.015558
   BA3328       NonMut        0.034173
   BA3329       NonMut        0.001233
   BA3332       NonMut        0.008826
   BA3333       NonMut        0.016080
   BA3334       NonMut        0.009849
   BA3335       NonMut        0.012161
   BA3339       NonMut        0.003227
   BA3341       NonMut        0.026366
   BA3345       NonMut        0.006993
   BA3351       NonMut        0.048331
   BA3352       NonMut        0.031655
   BA3353       NonMut        0.024044
   BA3357       NonMut        0.036376
   BA3362       NonMut        0.054312
   BA3367       NonMut        0.014239
   BA3369       NonMut        0.014892
   BA3371       NonMut        0.009915
   BA3373       NonMut        0.008596
   BA3374       NonMut        0.027833
   BA3375       NonMut        0.024144
   BA3376       NonMut        0.026810
   BA3379       NonMut        0.008198
   BA3380       NonMut        0.012716
