	ID_sample	TypeMutation	ExpressionGene
374	BA2839	NonMut	0.6880338863870606
375	BA2840	NonMut	0.3417398377554638
376	BA2841	NonMut	0.0872061774022096
377	BA2842	NonMut	0.1548283437975207
378	BA2843	NonMut	0.0009554517760357
379	BA2844	NonMut	0.1004672344075486
380	BA2846	NonMut	0.6138999934750695
381	BA2850	NonMut	0.6737604800669292
382	BA2851	NonMut	0.4227151357950647
383	BA2852	NonMut	0.2052239172681841
384	BA2855	NonMut	0.2271299869237621
385	BA2856	NonMut	0.1331356976459998
386	BA2858	NonMut	0.1150097464615107
387	BA2861	NonMut	0.106918279511033
388	BA2865	NonMut	0.3781820537351896
389	BA2866	NonMut	0.3976880606962743
390	BA2867	NonMut	0.4711109068286485
391	BA2868	NonMut	0.1482073138054148
392	BA2870	NonMut	0.5069095606352807
393	BA2871	NonMut	0.170088311266681
394	BA2872	NonMut	0.1706664186677523
395	BA2876	NonMut	0.1042099068954033
396	BA2879	NonMut	0.3854677705158275
397	BA2880	NonMut	0.1470865539668648
398	BA2882	NonMut	0.1467127098966962
399	BA2883	NonMut	0.4525059688827549
400	BA2885	NonMut	0.299849769692369
401	BA2887	NonMut	0.3361944461565933
402	BA2889	NonMut	0.0032607530191513
403	BA2901	NonMut	0.1850517608980293
404	BA2902	NonMut	0.4305832717631047
405	BA2903	NonMut	0.0834256581001667
406	BA2904	NonMut	0.5605771781116354
407	BA2906	NonMut	0.1863712182221971
408	BA2908	NonMut	0.3362728008393634
409	BA2909	NonMut	0.1964219455250941
410	BA2910	NonMut	0.4085341383201479
411	BA2911	NonMut	0.432461270425124
412	BA2914	NonMut	0.3282464348132149
413	BA2915	NonMut	0.0218014132414214
414	BA2921	NonMut	0.3518351047618266
415	BA2922	NonMut	0.4560426622607161
416	BA2923	NonMut	0.2617340184470018
417	BA2926	NonMut	0.2264094324360189
418	BA2928	NonMut	0.1677164032455859
419	BA2932	NonMut	0.4272977550754492
420	BA2934	NonMut	0.1236760212693928
421	BA2935	NonMut	0.2287418252851064
422	BA2937	NonMut	0.2074914069173383
423	BA2939	NonMut	0.3058548591742073
424	BA2944	NonMut	0.6073825472504101
425	BA2947	NonMut	0.2272981186082784
426	BA2948	NonMut	0.1754806126930556
427	BA2950	NonMut	0.5988291453273596
428	BA2952	NonMut	0.3159037247979155
429	BA2955	NonMut	0.201015698103048
430	BA2956	NonMut	0.1737723118793595
431	BA2962	NonMut	0.3745486800855535
432	BA2970	NonMut	0.1431593851330471
433	BA2972	NonMut	0.2478497605073347
434	BA2976	NonMut	0.3104939002311873
435	BA2978	NonMut	0.260346391573401
436	BA2981	NonMut	0.3877086824465399
437	BA2984	NonMut	0.5524435975243656
438	BA2986	NonMut	0.2983798773803634
439	BA2992	NonMut	0.571223400311484
440	BA2993	NonMut	0.351026574506516
441	BA2994	NonMut	0.6987384180225817
442	BA3001	NonMut	0.5107964579461929
