	ABL1	SRP72
BA3219	0.0107354001441961	753.0383540172343
BA3221	0.0088698630136986	356.408831691691
BA3222	0.0215771449170872	1217.1092840113824
BA3225	0.0116240086517664	800.9500858270537
BA3226	0.0166204037490987	659.5494116413571
BA3227	0.0285291997116077	884.4569776690914
BA3228	0.0207173756308579	1288.424239035908
BA3229	0.0180821917808219	701.2228461831359
BA3230	0.0169899062725306	497.2825598752588
BA3232	0.0152343186733958	778.7268387365741
BA3234	0.0154217736121124	543.0684186097612
BA3235	0.0098558038932948	525.2604420053444
BA3237	0.013042537851478	755.2993310870622
BA3240	0.0435886806056236	832.9187441358587
BA3242	0.0128731074260994	579.1668894030342
BA3243	0.0143330930064888	766.2650742354047
BA3245	0.0212076423936553	586.3690246932931
BA3249	0.0218637346791636	1113.536553417946
BA3250	0.0191041816870944	897.2169246970714
BA3251	0.0130353280461427	556.4262915580466
BA3255	0.0108309300648882	676.5876811086537
BA3258	0.0105461427541456	537.7967124212279
BA3260	0.0103064167267483	574.1195575711846
BA3261	0.0220511896178803	505.8897958599137
BA3264	0.029127613554434	1231.72261743155
BA3266	0.0226856524873828	975.4086270369878
BA3268	0.0360526315789473	1204.562627739945
BA3269	0.0187328767123287	574.2888129150617
BA3270	0.0144881038211968	875.3627111621042
BA3271	0.02060021629416	870.8828834172451
BA3273	0.0321178803172314	2084.838213164635
BA3275	0.028923936553713	955.4560030300098
BA3277	0.0209318673395818	797.1890670755472
BA3280	0.020474044700793	655.214923411319
BA3283	0.0126387887527036	692.9882345506861
BA3285	0.0137274693583273	1836.369709547973
BA3286	0.0178496755587599	707.1733747370413
BA3289	0.00443763518385	242.40746865965045
BA3290	0.012072819033886	753.7722377409552
BA3293	0.0246773612112472	1118.8267308802208
BA3295	0.0183255227108868	720.3600385409662
BA3296	0.0086697909156452	449.61704215570455
BA3297	0.029592645998558	1057.194000453533
BA3299	0.0119646719538572	504.0089306005221
BA3300	0.0211211247296323	959.2769859418028
BA3302	0.0303640951694304	1170.4465404538614
BA3305	0.0147007930785868	788.7780260237171
BA3306	0.0206741167988464	737.3593074386705
BA3308	0.0207624369142033	750.8072247760216
BA3310	0.0220061283345349	743.8724608994046
BA3311	0.0114113193943763	602.0581748006822
BA3312	0.0251261715933669	1013.106788813198
BA3315	0.0143006488824801	1139.6246661532032
BA3317	0.0217303532804614	758.6461458273099
BA3318	0.0297746935832732	927.5327769718114
BA3319	0.0158723864455659	759.8362796767575
BA3322	0.0114095169430425	453.6058882459923
BA3324	0.0199585436193222	1264.486124382238
BA3325	0.008613914924297	557.5756401632218
BA3326	0.0136049026676279	751.2944282122129
BA3328	0.0238320115356885	683.8720320198743
BA3329	0.0240699351117519	1028.979237991192
